editTopo.py edits file version 1
#edits to restore Marginal seas: Med sea, Red Sea, Persian Gulf
#   i    j  old                new
   39  133  901.171691894531250      922.7
   45  164 1425.680664062500000     2340.0
   45  165 1529.328002929687500     2340.0
   45  166 1602.592895507812500     2340.0
   45  167 1763.528930664062500     2340.0
   45  168 1751.416259765625000     2340.0
   45  169 1821.478149414062500     2340.0
   46  169 1743.488281250000000     2340.0
   46  168 1839.300292968750000     2340.0
   46  167 1846.014038085937500     2340.0
   46  166 1890.887451171875000     2340.0
   46  165 1775.695312500000000     2340.0
   46  164 1954.325683593750000     2340.0
   45  163 1791.137207031250000     2340.0
   46  163 2099.691650390625000     2340.0
   67  143  905.391601562500000     1000.0
   68  143   74.805816650390625     1000.0
   72  147    0.000000000000000     1987.5
   72  146 1744.790405273437500     2715.3
   72  145 2234.798583984375000     3182.7
   72  144 3815.944091796875000     3734.6
   73  144 3108.788330078125000     3734.6
   73  145 3032.800292968750000     3182.7
   73  146 3634.626708984375000     2715.3
   40  165 2353.421386718750000     2726.7
   39  165 2568.444091796875000     2698.6
   41  165 1884.672241210937500     2023.9
   40  164 1481.671020507812500     1573.9
   41  166 3256.020507812500000     3587.6
   40  166 3516.499023437500000     3749.2
   45  162 2310.550292968750000     2340.0
   46  162 2163.266845703125000     2340.0
   46  161 2205.872314453125000     2340.0
   46  160 2339.293945312500000     2340.0
   46  159 2592.152832031250000     2340.0
   46  158 2967.964355468750000     2340.0
   46  157 2969.248779296875000     2340.0
   46  156 2638.720458984375000     2340.0
   45  156 2469.845703125000000     2340.0
   45  157 2183.363769531250000     2340.0
   45  158 2080.400390625000000     2340.0
   45  159 2424.315673828125000     2340.0
   45  160 2267.574707031250000     2340.0
   45  161 2385.008789062500000     2340.0
   45  155  350.855102539062500     2340.0
   46  155 1277.367187500000000     2340.0
   46  154 2273.148925781250000     2340.0
   45  154 2643.113037109375000     2340.0
   49  158  580.308837890625000      700.0
   51  151 1010.070800781250000      700.0
   52  151  452.858917236328125      700.0
  272  226 1374.751586914062500     1347.8
  272  227  744.086791992187500      771.3
  273  227  216.180969238281250      300.0
  273  226  432.303100585937500      300.0
  270  227 3086.915039062500000     3276.1
  271  227 1562.016723632812500     2218.0
  207  319  121.816764831542969      178.0
  202  216 1763.990112304687500      961.6
  203  215  720.898559570312500     1615.4
  204  214  986.007019042968750     1328.0
  205  213 1674.767211914062500     1931.3
  202  215  611.350952148437500      961.6
  200  216  512.819824218750000      300.0
  201  216   99.113182067871094      300.0
  214   73 1156.577270507812500     2219.6
  208   73  685.031982421875000     1797.5
  323  198   69.699386596679688      160.0
  324  198    0.000000000000000      160.0
  322  199    0.000000000000000      160.0
  323  199    0.000000000000000      160.0
  324  199    0.000000000000000      160.0
  322  200    0.000000000000000      160.0
  323  200    0.000000000000000      160.0
  322  201    0.000000000000000      160.0
  321  201    0.000000000000000      160.0
  321  202    0.000000000000000      160.0
  321  203    0.000000000000000      160.0
  322  203    0.000000000000000      160.0
  322  202    0.000000000000000      160.0
  321  204    0.000000000000000      160.0
  322  204    0.000000000000000      160.0
  320  205    0.000000000000000      160.0
  321  205    0.000000000000000      160.0
  320  206    0.000000000000000      160.0
  321  206    0.000000000000000      160.0
  320  204    0.000000000000000      160.0
  321  200    0.000000000000000      160.0
  322  198    0.000000000000000      160.0
  319  206    0.000000000000000      160.0
  321  207    0.000000000000000      160.0
  322  205    0.000000000000000      160.0
  321  199    0.000000000000000      160.0
  # Gibraltar Strait 
  320  273  52.68207550048828   0.0
  321  273  29.632413864135742  0.0
  323  278  10.110641479492188  0.0
  323  276  10.258398056030273  0.0
  323  275  10.833292961120605  0.0
  323  274  10.0657377243042    0.0
  303  257  67.14962005615234   0.0
  302  254  24.320764541625977  0.0
  301  261  23.015472412109375  0.0
  # Kara Sea
  338  317  10.432805061340332  0.0
  340  314  11.340003967285156  0.0
  340  313  12.373224258422852  0.0
  # Baffin and Cambridge bay
  153  301  71.08995819091797   0.0
  161  295  109.62088775634766  0.0
  161  294  110.29159545898438  0.0
  152  301  73.95890045166016   0.0
  204  319  197.73617553710938  0.0
  204  320  210.09815979003906  0.0
  242  312  0.000000000000000   499.1
